S.No.	VENDORS	CONTACT NO.	EMAIL ID	...5
1	Trade Connection	0341-289529	tradingconnection@gmail.com	wrong contact
2	Novartis Pharma	021-2313386	customersupport.inquiry@novartis.com	NA
3	Lab Essencial	0335-3634538	labessencial209@gmail.com	NA
4	Madina Traders	NA	NA	NA
5	Arif Traders	0333-2391670/0316-2445048	NA	will remind his boss
6	Hamdam Medicos	NA	NA	not possible
7	Noor Distributors	021-34135811 - 14	info@noor.com.pk	NA
8	Lab Line	021-32626097-888	info@labline.biz	NA
9	Hospicare Systems	021-34921913/021-34535225	NA	refer to specific person
10	Zaavia	021-36722642	info@zaavia.net	NA
11	Imco Technologists	021-35050270-72/0333-3251351	info@imco.com.pk	NA
12	Masoomeen Traders	021-34325227/0347-3583971	masoomeentraders@gmail.com	NA
13	Express Pharma	0333-3817005	NA	NA
14	Hospital Supply Corporation	021-34545570	NA	NA
15	Satcomm	0311-1444788/0314-2014477	billing@satcomm.pk	NA
16	Win Industries	021-36332454	winind-pak@cyber.net.pk	NA
17	Ali Traders	021-32623470/0300-4867150	ali.traders@ymail.com	NA
18	Deaar Water	021-36434873/0321-2828222	info@deaar.com.pk	15 days bad in ke boss ayein ge
19	Prime Security	0300-0777292/0342-1117489	primesecureyou@gmail.com	NA
21	Faruq Ali & Co.	021-34301965-66-67-68-69	info@fac.com.pk	NA
22	Phoenix Security	111-288-288	info@phoenix.com.pk	NA
23	Mus International	0321-2489936/0315-8776434	mustafasami66@gmail.com	NA
24	Redtone RDS	021-35291831-6	info@redtone.com.pk	NA
25	Mod Scientific	0300-70414455/0333-3731193	modscientifictraders@gmail.com	NA
26	Denzen Computer	0325-1548556	NA	NA
27	DiaLab Corporation	021-32632771	NA	NA
28	ER Technical	0335-2651897	ertechnicalservices45@gmail.com	NA
29	Waseem Brothers	021-34969570/021-34988263	NA	NA
30	Amjad Printers	021-34232480	amjadprinter@yahoo.com	NA
31	SN Waste Management	021-35130443	NA	zafr jaffri ko remind
32	Meditec Intruments	021-34114280-81/03340022551	meditec@meditec.com.pk	NA
33	Shama Printers	0342-8206073/03103251302	shamaprinter7@gmail.com	NA
34	AJ Mirza Pharma	021-35680236/021-35680203	NA	NA
35	Project Planet	021-32270624-5/0300-2861527	NA	NA
36	T.V. Corner	021-32775557/03310456557	NA	NA
37	Kabir Ahmed	NA	kabir0333@gmail.com	NA
38	S. Ejazuddin & Co.	021-34398851-52	NA	NA
39	International Business Art	0300-8246247/0323-2233393	qaiser.raza.iba@gmail.com	NA
40	MHK Enterprises	021-34331144	mhk.enterprises01@gmail.com	NA
41	Hoora Pharma	021-38899000	info@hoorapharma.com	NA
42	Scitech Systems	NA	scitechsystems@gmail.com	NA
43	Uni Bind	021-32418864/0333-1260016	w.m.rabadia@hotmail.com	NA
44	Reliable Mechanical Services	0300-2263006	NA	NA
45	Serene Pharma	021-34543143-70	NA	NA
46	The Print Links	0333-2244586/0333-3162141	raisaahmed1961@gmail.com	soch ke batayen ge
47	Lucky Lab International	021-34383054-55	info@llip.pk	NA
48	Zareen Traders	NA	NA	NA
49	Eastern Scientific	0321-2420031	info@easternscientifics.com	NA
50	Eco Services	0311-1114673	info@ecoservices.com.pk	NA
51	Elite Windoors & Interiors	0318-9090345/021-34970139	NA	NA
52	Pharmalink	021-34535789-92	info@pharmalink.com.pk	NA
53	Kahalid Iron & Steel Works	0333-2205621	NA	NA
54	Marvi Interiors	021-34538988/0321-8225570	info@marviinteriors.com	NA
55	Vibro Enterprises	0312-6937933/0345-2308221	NA	NA
56	Universal Power	0322-2285761	NA	NA
57	Care & Cure	021-34549144/021-34549155-7	info@careandcure.net	NA
58	Createch Global Solution	0336-2389303/0332-3739048	info@createch.solutions	NA
59	Hospital Services & Sales	021-34521629	hssintl@cyber.net.pk	NA
60	Bullz-Eye Marketing	021-32427855	NA	NA
